company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions,number_of_layoff_events,is_repeat_layoff_company,log_funds_raised,funding_bracket,severity_tier,is_statistical_outlier,outlier_direction
Fandom,SF Bay Area,Media,0,0.14,2020-04-30,Series E,United States,145,1,False,4.983606621708336,Medium ($50-500M),Moderate (10-25%),False,Typical
Fareportal,Gurugram,Travel,200,,2020-03-26,Unknown,India,0,1,False,0.0,Small (<$50M),,False,Typical
FarEye,New Delhi,Logistics,90,,2023-02-03,Series E,India,150,2,True,5.017279836814924,Medium ($50-500M),,False,Typical
FarEye,New Delhi,Logistics,250,0.3,2022-06-10,Series E,India,150,2,True,5.017279836814924,Medium ($50-500M),Severe (25-50%),False,Typical
Fast,SF Bay Area,Finance,0,1.0,2022-04-05,Series B,United States,124,1,False,4.8283137373023015,Medium ($50-500M),Critical (>50%),True,Unusually High for Funding Level
Fate Therapeutics,San Diego,Healthcare,315,0.57,2023-01-09,Post-IPO,United States,1200,1,False,7.090909822079984,Large ($500M-2B),Critical (>50%),True,Unusually High for Funding Level
Favo,Sao Paulo,Food,170,,2022-06-02,Series A,Brazil,31,1,False,3.4657359027997265,Small (<$50M),,False,Typical
Faze Medicines,Boston,Healthcare,0,1.0,2022-11-09,Series B,United States,81,1,False,4.406719247264253,Medium ($50-500M),Critical (>50%),True,Unusually High for Funding Level
Fifth Season,Pittsburgh,Food,100,1.0,2022-10-28,Series B,United States,35,1,False,3.58351893845611,Small (<$50M),Critical (>50%),False,Typical
Finder,Sydney,Retail,0,0.15,2023-02-03,Unknown,Australia,30,1,False,3.4339872044851463,Small (<$50M),Moderate (10-25%),False,Typical
Finite State,Columbus,Security,16,0.2,2022-06-17,Series B,United States,49,1,False,3.912023005428146,Small (<$50M),Moderate (10-25%),False,Typical
Finleap Connect,Hamburg,Finance,14,0.1,2022-06-30,Series A,Germany,22,1,False,3.1354942159291497,Small (<$50M),Mild (<=10%),False,Typical
Fipola,Chennai,Food,0,1.0,2023-02-20,Series A,United States,9,1,False,2.302585092994046,Small (<$50M),Critical (>50%),False,Typical
Fireblocks,New York City,Crypto,30,0.05,2023-02-20,Series E,United States,1000,1,False,6.90875477931522,Large ($500M-2B),Mild (<=10%),False,Typical
Firework,SF Bay Area,Retail,0,0.1,2022-11-29,Series B,United States,269,1,False,5.598421958998375,Medium ($50-500M),Mild (<=10%),False,Typical
FiscalNote,Washington D.C.,Media,30,,2020-04-02,Series D,United States,50,1,False,3.9318256327243257,Small (<$50M),,False,Typical
Fittr,Pune,Fitness,30,0.11,2023-03-02,Series A,India,13,1,False,2.6390573296152584,Small (<$50M),Moderate (10-25%),False,Typical
Fiverr,Tel Aviv,Other,60,0.08,2022-07-26,Post-IPO,Israel,111,1,False,4.718498871295094,Medium ($50-500M),Mild (<=10%),False,Typical
Fivetran,SF Bay Area,Data,0,0.05,2022-10-04,Series D,United States,0,1,False,0.0,Small (<$50M),Mild (<=10%),False,Typical
Flatiron School,New York City,Education,100,,2020-05-06,Acquired,United States,15,1,False,2.772588722239781,Small (<$50M),,False,Typical
Flexport,SF Bay Area,Logistics,640,0.2,2023-01-11,Series E,United States,2400,1,False,7.783640596221253,Mega (>$2B),Moderate (10-25%),False,Typical
Flipboard,SF Bay Area,Media,24,0.21,2022-10-16,Unknown,United States,235,1,False,5.4638318050256105,Medium ($50-500M),Moderate (10-25%),False,Typical
Flockjay,SF Bay Area,Education,37,0.5,2021-08-24,Series A,United States,14,1,False,2.70805020110221,Small (<$50M),Severe (25-50%),False,Typical
Flowhub,Denver,Retail,0,0.15,2022-09-09,Unknown,United States,45,1,False,3.828641396489095,Small (<$50M),Moderate (10-25%),False,Typical
Flowr,Toronto,Retail,0,0.25,2020-03-24,Unknown,Canada,0,1,False,0.0,Small (<$50M),Moderate (10-25%),False,Typical
Fluke,Sao Paulo,Other,83,0.82,2022-08-17,Seed,Brazil,0,1,False,0.0,Small (<$50M),Critical (>50%),False,Typical
Flux Systems,London,Finance,0,1.0,2022-10-14,Unknown,United Kingdom,9,1,False,2.302585092994046,Small (<$50M),Critical (>50%),False,Typical
Flyhomes,Seattle,Real Estate,200,0.2,2022-07-20,Series C,United States,310,2,True,5.739792912179234,Medium ($50-500M),Moderate (10-25%),False,Typical
Flyhomes,Seattle,Real Estate,300,0.4,2022-11-09,Series C,United States,310,2,True,5.739792912179234,Medium ($50-500M),Severe (25-50%),False,Typical
Flymya,Yangon,Travel,200,0.33,2020-04-01,Unknown,Myanmar,0,1,False,0.0,Small (<$50M),Severe (25-50%),False,Typical
Flytedesk,Boulder,Marketing,4,0.2,2020-03-18,Seed,United States,4,1,False,1.6094379124341005,Small (<$50M),Moderate (10-25%),False,Typical
Flywheel Sports,New York City,Fitness,784,0.98,2020-03-20,Acquired,United States,120,1,False,4.795790545596741,Medium ($50-500M),Critical (>50%),True,Unusually High for Funding Level
Flywire,Boston,Finance,60,0.12,2020-05-07,Series E,United States,263,1,False,5.575949103146316,Medium ($50-500M),Moderate (10-25%),False,Typical
Food52,New York City,Food,20,0.1,2022-04-08,Acquired,United States,176,2,True,5.176149732573829,Medium ($50-500M),Mild (<=10%),False,Typical
Food52,New York City,Food,21,0.15,2022-06-03,Acquired,United States,176,2,True,5.176149732573829,Medium ($50-500M),Moderate (10-25%),False,Typical
Foodpanda,Singapore,Food,60,,2022-09-07,Acquired,Singapore,749,2,True,6.620073206530356,Large ($500M-2B),,False,Typical
Foodpanda,Bucharest,Food,80,,2022-05-26,Acquired,Romania,749,2,True,6.620073206530356,Large ($500M-2B),,False,Typical
Foodsby,Minneapolis,Food,87,0.67,2020-03-24,Series B,United States,20,1,False,3.044522437723423,Small (<$50M),Critical (>50%),False,Typical
ForeScout,SF Bay Area,Security,100,0.1,2023-01-10,Post-IPO,United States,125,1,False,4.836281906951478,Medium ($50-500M),Mild (<=10%),False,Typical
Foresight Insurance,SF Bay Area,Finance,0,0.4,2022-10-06,Series B,United States,58,1,False,4.07753744390572,Medium ($50-500M),Severe (25-50%),False,Typical
Forma.ai,Toronto,Sales,15,0.09,2022-07-20,Series B,Canada,58,1,False,4.07753744390572,Medium ($50-500M),Mild (<=10%),False,Typical
Forto,Berlin,Logistics,60,0.08,2022-11-11,Series D,United States,593,1,False,6.386879319362645,Large ($500M-2B),Mild (<=10%),False,Typical
Forward,SF Bay Area,Healthcare,0,0.05,2022-07-11,Series D,United States,225,2,True,5.420534999272286,Medium ($50-500M),Mild (<=10%),False,Typical
Forward,SF Bay Area,Healthcare,10,0.03,2020-04-20,Series C,United States,100,2,True,4.61512051684126,Medium ($50-500M),Mild (<=10%),False,Typical
FourKites,Chicago,Logistics,60,0.08,2022-08-11,Series D,United States,201,1,False,5.308267697401205,Medium ($50-500M),Mild (<=10%),False,Typical
Foxtrot,Chicago,Food,26,0.035,2022-09-23,Series C,United States,166,1,False,5.117993812416755,Medium ($50-500M),Mild (<=10%),False,Typical
Fraazo,Mumbai,Food,150,,2022-07-12,Series B,India,63,1,False,4.158883083359672,Medium ($50-500M),,False,Typical
Freetrade,London,Finance,45,0.15,2022-06-10,Unknown,United Kingdom,133,1,False,4.897839799950911,Medium ($50-500M),Moderate (10-25%),False,Typical
Frequency Therapeutics,Boston,Healthcare,0,0.5,2023-02-01,Post-IPO,United States,76,1,False,4.343805421853684,Medium ($50-500M),Severe (25-50%),True,Unusually High for Funding Level
Freshbooks,Toronto,Finance,38,0.09,2020-04-21,Series B,Canada,75,1,False,4.330733340286331,Medium ($50-500M),Mild (<=10%),False,Typical
FreshDirect,Philadelphia,Food,40,,2022-08-25,Acquired,United States,280,1,False,5.638354669333745,Medium ($50-500M),,False,Typical
Freshly,New York City,Food,0,0.25,2022-07-18,Acquired,United States,107,2,True,4.68213122712422,Medium ($50-500M),Moderate (10-25%),False,Typical
Freshly,Phoenix,Food,329,,2022-12-12,Acquired,United States,107,2,True,4.68213122712422,Medium ($50-500M),,False,Typical
Freshworks,SF Bay Area,Support,90,0.02,2022-12-15,Post-IPO,United States,484,1,False,6.184148890937483,Medium ($50-500M),Mild (<=10%),False,Typical
Frontdesk,Milwaukee,Travel,35,0.16,2020-04-10,Unknown,United States,3,1,False,1.3862943611198906,Small (<$50M),Moderate (10-25%),False,Typical
FrontRow,Bengaluru,Education,130,0.75,2022-10-12,Series A,India,17,2,True,2.8903717578961645,Small (<$50M),Critical (>50%),False,Typical
FrontRow,Bengaluru,Education,145,0.3,2022-05-27,Series A,India,17,2,True,2.8903717578961645,Small (<$50M),Severe (25-50%),False,Typical
Frubana,Bogota,Food,0,0.03,2022-06-21,Series C,Colombia,202,1,False,5.313205979041787,Medium ($50-500M),Mild (<=10%),False,Typical
FullStory,Atlanta,Marketing,0,0.12,2022-09-13,Unknown,United States,197,1,False,5.288267030694535,Medium ($50-500M),Moderate (10-25%),False,Typical
