company,number_of_layoff_events,first_layoff_date,last_layoff_date,total_laid_off_all_events,average_days_between_layoffs
Wheel,2,2022-08-18,2023-02-01,91,167.0
WhiteHat Jr,2,2021-01-06,2022-06-28,2100,538.0
Wish,2,2022-03-01,2023-01-31,340,336.0
Wix,2,2022-08-09,2023-02-15,470,190.0
Yelp,2,2020-04-09,2020-07-13,1063,95.0
Zendesk,2,2022-08-04,2022-11-07,430,95.0
Zenius,2,2022-05-24,2022-08-04,200,72.0
Zilingo,2,2020-04-17,2020-07-09,144,83.0
Zillow,2,2021-11-02,2022-10-26,2300,358.0
Zomato,2,2020-05-15,2022-11-19,620,918.0
Zoox,2,2020-04-03,2020-04-13,220,10.0
Twilio,2,2022-09-14,2023-02-13,2300,152.0
Truepill,2,2022-06-08,2022-08-11,325,64.0
TripleLift,2,2020-04-02,2023-02-10,123,1044.0
StreamElements,2,2022-06-23,2023-01-10,40,201.0
Service,2,2020-03-16,2020-03-20,0,4.0
Shutterfly,2,2021-01-25,2023-01-25,1160,730.0
Skillz,2,2020-04-14,2022-05-20,91,766.0
Smava,2,2022-08-31,2022-11-02,200,63.0
Snapdocs,2,2022-08-16,2022-11-03,0,79.0
Snyk,2,2022-06-30,2022-10-24,228,116.0
Socure,2,2022-06-17,2023-01-05,173,202.0
SoundHound,2,2022-11-10,2023-01-05,245,56.0
Spin,2,2022-01-08,2022-09-30,78,265.0
Neon,2,2020-04-13,2023-02-15,280,1038.0
Sprinklr,2,2022-06-22,2023-02-15,150,238.0
Starry,2,2022-10-20,2023-01-18,100,90.0
Stripe,2,2022-08-19,2022-11-03,1050,76.0
Tier Mobility,2,2022-08-23,2023-01-25,260,155.0
Swyftx,2,2022-08-17,2022-12-05,164,110.0
TCR2,2,2022-08-31,2023-01-05,30,127.0
TaskUs,2,2022-06-21,2023-02-22,238,246.0
The Predictive Index,2,2020-04-02,2022-08-02,99,852.0
The RealReal,2,2020-04-14,2023-02-16,465,1038.0
The Zebra,2,2022-05-24,2022-11-15,90,175.0
TheSkimm,2,2020-05-01,2023-02-01,43,1006.0
Thinkific,2,2022-03-29,2023-01-10,176,287.0
ThirdLove,2,2020-03-27,2020-04-02,75,6.0
Thirty Madison,2,2022-05-14,2022-08-18,24,96.0
ThredUp,2,2021-02-09,2022-08-15,243,552.0
Thumbtack,2,2020-03-30,2022-12-13,410,988.0
Splunk,2,2020-06-16,2023-02-01,395,960.0
MakeMyTrip,2,2020-06-01,2020-08-31,700,91.0
Nearmap,2,2020-04-22,2023-02-08,0,1022.0
CommonBond,2,2022-05-13,2022-09-09,22,119.0
Carbon Health,2,2022-06-02,2023-01-06,450,218.0
Career Karma,2,2022-07-28,2023-01-12,82,168.0
Carta,2,2020-04-15,2023-01-11,161,1001.0
Carvana,2,2022-05-10,2022-11-18,4000,192.0
Cerebral,2,2022-10-24,2023-02-27,685,126.0
Chipper Cash,2,2022-12-06,2023-02-17,150,73.0
ChowNow,2,2022-07-13,2022-12-14,140,154.0
Chrono24,2,2022-12-08,2023-01-30,145,53.0
Clari,2,2022-08-31,2023-02-06,65,159.0
Clear Capital,2,2022-10-14,2023-01-25,628,103.0
Clearco,2,2022-06-06,2022-07-29,185,53.0
